,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds,Timestamp,Title,Creator,handle,URL,Description,Type,Category,Tag,Img,Example,Unnamed: 12
10,2024-04-16T19:27:41Z,UC1ettU5YSf_nIOJWffCKGQw,Why whites always get to be in everything black people do | Farrakhan,Nation of Islam Leader minister Louis Farrakhan on why the white folk always get to be in everything black people do ...,"{'default': {'url': 'https://i.ytimg.com/vi/aA-XhhmolTQ/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/aA-XhhmolTQ/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/aA-XhhmolTQ/hqdefault_live.jpg', 'width': 480, 'height': 360}}",LuiSpot,live,2024-04-16T19:27:41Z,aA-XhhmolTQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/aA-XhhmolTQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/5/2023 17:22:07,Luisp0t,Luisp0t,,https://www.youtube.com/@Luisp0t,"Hey this is Lui. I'm an industrial chemist creating visual content, this is my spot - LuiSpot. Careful, English is not my 1st language, so I might not be able to please your ego. Mom says i'm lazy, but lazy doesn’t always mean bad. ",Channel,Current Events,News; History; Discussion;,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
11,2024-04-16T19:00:15Z,UC-4h1XQ47sf0vbFwJvuBhEA,Ukraine Opening Embassies Across Africa To Counter Russia,"In a strategic move to strengthen its presence in Africa and counter Russian influence on the continent, Ukraine has embarked on ...","{'default': {'url': 'https://i.ytimg.com/vi/NQXk2fENdAc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NQXk2fENdAc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NQXk2fENdAc/hqdefault.jpg', 'width': 480, 'height': 360}}",The New Africa Channel,none,2024-04-16T19:00:15Z,NQXk2fENdAc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/NQXk2fENdAc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/5/2023 17:24:27,The New Africa Channel,The New Africa Channel,,https://www.youtube.com/@TheNewAfricaChannel,"The New Africa Channel is Africa’s most comprehensive and number video channel for mega construction projects, development, technology, environmental, business opportunities, trending issues, and more.  Our work aims to connect Africans in Africa and in the Diaspora with the rest of the world. No matter where we come from, we're all connected to Africa. At The New Africa Channel, our viewing audience guides the direction of our platform, and we always want to present quality content that meets our viewer's needs.",Channel,Current Events,History; News; Implementation; Strategy,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
12,2024-04-16T18:30:05Z,UCKZGcrxRAhdUi58Mdr565mw,Pres. Ramaphosa Angered Over U.S. Anti-South African Bill Passed By House Foreign Affairs,Vicki Dillard reports on South African President Cyril Ramaphosa's anger after learning the US discussed an anti-South Africa bill ...,"{'default': {'url': 'https://i.ytimg.com/vi/8wra-4vYqNo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8wra-4vYqNo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8wra-4vYqNo/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2024-04-16T18:30:05Z,8wra-4vYqNo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/8wra-4vYqNo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/7/2023 15:35:57,African Diaspora News Channel,African Diaspora News Channel,,https://www.youtube.com/@AfricanDiasporaNews,"African Diaspora News Channel presents international news, social commentary, travel, and health. We're committed to reporting truthful and accurate news. Our viewers expect and love the ""tell it like it is"" style of reporting. We're dedicated to bringing stories that spark conversation and topics that aren't comfortable in a politically correct world. We will say what we believe and stand against propaganda. You can expect a balanced opinion in our news commentaries. We believe our viewing audience guides the direction of our platform.",Channel,Current Events,News,,https://youtu.be/yTftFBRk0ok,
8,2024-04-16T17:06:57Z,UCKLSjhp6XZUEYDT1DMcrj8w,UPDATES: Mali obtains 150 million liters of diesel from Niger,"As part of strengthened cooperation between Mali and Niger, the two countries have finalized a partnership agreement relating to ...","{'default': {'url': 'https://i.ytimg.com/vi/bzb2spYSKTc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/bzb2spYSKTc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/bzb2spYSKTc/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2024-04-16T17:06:57Z,bzb2spYSKTc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/bzb2spYSKTc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/5/2023 17:14:55,Make Afrika Great,Make Afrika Great,,https://www.youtube.com/@MakeAfrikaGreat,Make Afrika Great,Channel,Current Events,"Make Afrika Great is the channel on YouTube, aimed at Educating and Informing you about everything in Africa, inspiring and  Uniting the people. Our Goal is to share thoughts and idea about Africa. Inspire Young People to Make Africa great, Coming together Finding Solutions  of  Problems. We believe that Africa has a lot of opportunities and Many Resources that can bring Development to the Continent of Africa Our content includes: - - Best speeches of our Leaders. -Young innovators and creators -Africa NEWS and UPDATES -Africa Culture -Inspiration Speeches of African Leaders & Pan Africanism  -investments places",none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
6,2024-04-16T17:00:08Z,UCRVsqvXIdgyPVS-a6fGa1lA,"Aisha Bowe on Being a NASA Rocket Scientist, Space Travel, Jeff Bezos’ Blue Origin Rocket, &amp; Aliens","Welcome to a truly inspiring episode of Earn Your Leisure! Today, we dive deep with Aisha Bowe, former NASA rocket scientist ...","{'default': {'url': 'https://i.ytimg.com/vi/cVnME7akeP8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/cVnME7akeP8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/cVnME7akeP8/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-04-16T17:00:08Z,cVnME7akeP8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/cVnME7akeP8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/5/2023 17:11:31,Earn Your Leisure,Earn Your Leisure,,https://www.youtube.com/@EarnYourLeisure,"The Earn Your Leisure Network is a revolutionary network which gives rise to emerging and established content creators from the world of business, finance and entrepreneurship whose perspective, expertise and in-depth insight have been undervalued and overlooked.   The Earn Your Leisure Networks ultimate purpose is to build as we climb as a community, highlighting collaboration over competition. The network currently features six shows, Market Mondays, Inside the Vault, Iinner Wealth, DreamNation, Rants and Gems Real Estate Podcast & 19 Keys's hit show High Level Conversations. ",Channel,Productivity,Business; Strategy; Implementation,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
18,2024-04-16T17:00:06Z,UCrPq2ekHx2vZtuyG3wUx0_g,The Skin Color War Will Never End | A Colorism Breakdown Clip,cashapp: $joeward84 Follow us on Instagram @ontheshoulders1 Visit us at www.ontheshoulders1.com or ...,"{'default': {'url': 'https://i.ytimg.com/vi/MNMSBCSju0A/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/MNMSBCSju0A/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/MNMSBCSju0A/hqdefault.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants,none,2024-04-16T17:00:06Z,MNMSBCSju0A,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/MNMSBCSju0A"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/5/2023 17:08:16,On the Shoulders of Giants,On the Shoulders of Giants,,https://www.youtube.com/@Ontheshoulders1,On the Shoulders of Giants,Channel,Social Issues,Discussion; Strategy; Implementation,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
16,2024-04-16T16:00:33Z,UCPk29gUc_ltOGQ6f3Lh5kCg,Shannon Newby on The Reelblack Podcast (2024) | Comic Book Podcast,Mike chats with filmmaker and Comic Book creator SHANNON NEWBY about his recently relaunched YouTube channel. Give my ...,"{'default': {'url': 'https://i.ytimg.com/vi/e_5UJzRT_dc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/e_5UJzRT_dc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/e_5UJzRT_dc/hqdefault.jpg', 'width': 480, 'height': 360}}",Reelblack One,none,2024-04-16T16:00:33Z,e_5UJzRT_dc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/e_5UJzRT_dc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/5/2023 17:23:15,Reel Black,Reel Black,,https://www.youtube.com/@reelblack,"Reelblack's mission is to educate, entertain, enlighten and empower people through Black film. Since 2007, we have been capturing the New Black Film Revolution through interviews with the filmmakers, actors and musicians that make up the movement. In addition to our original content, we dig through archives to share video and music relevant to these conversations. Founder MIKE D. is a graduate of both NYU and The American Film Institute. ",Channel,Entertainment,Entertainment; Film,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
2,2024-04-16T15:43:39Z,UCjBw2SidW7wFElbmj9bgDjw,The Louvre Museum is INSANE!,"Join me live as we explore the corridors of the Louvre Museum, showcasing a curated collection of ancient Egyptian and ...","{'default': {'url': 'https://i.ytimg.com/vi/KsKT-fdVc1w/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KsKT-fdVc1w/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KsKT-fdVc1w/hqdefault_live.jpg', 'width': 480, 'height': 360}}",The Kings Monologue,upcoming,2024-04-16T15:43:39Z,KsKT-fdVc1w,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/KsKT-fdVc1w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/7/2023 16:21:53,The Kings Monologue,The Kings Monologue,,https://www.youtube.com/@kingmono,The disorganised musings of an unconquerable mind,Channel,History,History,,https://youtu.be/8DTVh2i1BhA,
27,2024-04-16T14:07:16Z,UCwZ2vurIl_X8rv0Dv4mu12A,"Rizza Islam, King Randall, Maj Toure :Today&#39;s Music Is Putting Our Young People On &#39;Death&#39; Mode","Watch the full interview with Rizza Islam, King Randal and Maj Toure NOW as an 'I Never Knew Tv' Youtube Member ...","{'default': {'url': 'https://i.ytimg.com/vi/Kt2T4TUZVw8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Kt2T4TUZVw8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Kt2T4TUZVw8/hqdefault.jpg', 'width': 480, 'height': 360}}",I Never Knew Tv,none,2024-04-16T14:07:16Z,Kt2T4TUZVw8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Kt2T4TUZVw8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/7/2023 16:11:25,I Never Knew Tv,I Never Knew Tv,,https://www.youtube.com/@INEVERKNEWTV,I Never Knew TV’s mission is to inform and inspire curious minds through meaningful dialogue and the sharing of revolutionary ideas and practices. ,Channel,Social Issues,Culture,,https://youtu.be/yhvQjRLSjyA,
34,2024-04-16T13:08:28Z,UCTis64XH8HrxE7GhEkA6YmA,"EP. 54 OUT NOW! BARCA VS PSG, WHO YA GOT? #football #soccer #barca #psg #mbappe",,"{'default': {'url': 'https://i.ytimg.com/vi/81TsdnDvUg8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/81TsdnDvUg8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/81TsdnDvUg8/hqdefault.jpg', 'width': 480, 'height': 360}}",5ASIDE Media,none,2024-04-16T13:08:28Z,81TsdnDvUg8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/81TsdnDvUg8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,,5ASide Podcast ,,,,,Sports,,,,
