,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds
6,2024-02-18T00:00:10Z,UCRVsqvXIdgyPVS-a6fGa1lA,Lessons on Leadership: The Importance of Purpose and Impact,"In this eye-opening episode, we are joined by the inspiring Thasunda Brown Duckett, CEO of TIAA, as she shares her incredible ...","{'default': {'url': 'https://i.ytimg.com/vi/GhPyuP3NCGc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/GhPyuP3NCGc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/GhPyuP3NCGc/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-02-18T00:00:10Z,GhPyuP3NCGc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/GhPyuP3NCGc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
0,2024-02-17T23:07:39Z,UCHbmePHjGH3pklvSla6szWw,We React Live to Metatron&#39;s Response to My Video - @kingmono Joins the LIVE!,The King's Monologue and KueliMika join in a LIVE to React to Metatron's Response. We expose the lack of rigor. Here is the ...,"{'default': {'url': 'https://i.ytimg.com/vi/vPb9afzHhCc/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vPb9afzHhCc/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vPb9afzHhCc/hqdefault_live.jpg', 'width': 480, 'height': 360}}",KueliMika,upcoming,2024-02-17T23:07:39Z,vPb9afzHhCc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/vPb9afzHhCc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
8,2024-02-17T22:51:33Z,UCKLSjhp6XZUEYDT1DMcrj8w,🔴 [LIVE]: Ethiopian PM Abiy Ahmed Powerful Speech at AU Summit,"Welcome to our Platform, Provide Constructive ideas what we can do to bring changes in Africa. How we can Add Value to our ...","{'default': {'url': 'https://i.ytimg.com/vi/6Qmurn3ieZ4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6Qmurn3ieZ4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6Qmurn3ieZ4/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2024-02-17T22:51:33Z,6Qmurn3ieZ4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/6Qmurn3ieZ4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
7,2024-02-17T22:00:31Z,UCDsOKnUQnQek7-G7Xc5kB8Q,Do People Want Recognition Or Money? - Donni Wiggins - Social Proof Podcast ep. 438,Watch Full Episode: https://youtu.be/hag1Ptm_lAg?si=oigKPflayUkxBNZM #entrepreneur #smallbusiness #podcast #howto In this ...,"{'default': {'url': 'https://i.ytimg.com/vi/veWjEip4ozc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/veWjEip4ozc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/veWjEip4ozc/hqdefault.jpg', 'width': 480, 'height': 360}}",Social Proof,none,2024-02-17T22:00:31Z,veWjEip4ozc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/veWjEip4ozc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
20,2024-02-17T21:48:28Z,UCi2uaWdy6OTf4Ty7DVC_7lw,"i had NO other choice , AFRICAN VILLAGE !!!","Hello family , welcome to my YouTube channel iam_marwa , i hope you have enjoyed this video I Wasn't Ready For This , The ...","{'default': {'url': 'https://i.ytimg.com/vi/yfEqXtBJRDI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/yfEqXtBJRDI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/yfEqXtBJRDI/hqdefault.jpg', 'width': 480, 'height': 360}}",iam_marwa,none,2024-02-17T21:48:28Z,yfEqXtBJRDI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/yfEqXtBJRDI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
14,2024-02-17T21:47:10Z,UCMe6CgCi6TSZX1tUxuUvCGg,Cming up Live on Pan-African Daily TV Channel 1,"Lectures on the situation in Burkina-Faso, Mali, Niger and DRC with PROF JAMES SMALL.","{'default': {'url': 'https://i.ytimg.com/vi/8gEDBLPT3O8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8gEDBLPT3O8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8gEDBLPT3O8/hqdefault.jpg', 'width': 480, 'height': 360}}",Pan-African Daily TV,none,2024-02-17T21:47:10Z,8gEDBLPT3O8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/8gEDBLPT3O8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
36,2024-02-17T20:01:51Z,UCv8G-xZ_BBGufjbN6jbvLMQ,Men Are The New Women - @TKKirklandnetwork - Chocolate Sundaes Comedy #shorts,,"{'default': {'url': 'https://i.ytimg.com/vi/Ci9jWuyiJKc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Ci9jWuyiJKc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Ci9jWuyiJKc/hqdefault.jpg', 'width': 480, 'height': 360}}",Chocolate Sundaes Comedy,none,2024-02-17T20:01:51Z,Ci9jWuyiJKc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Ci9jWuyiJKc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
12,2024-02-17T19:30:06Z,UCKZGcrxRAhdUi58Mdr565mw,NYC Mayor Dragged For Providing Migrants With $50M In Pre-Paid Debit Cards,Vicki Dillard reports on NYC Mayor Eric Adams being dragged for providing migrants free pre-paid debit cards that cost taxpayers ...,"{'default': {'url': 'https://i.ytimg.com/vi/GatHIkVc-7Y/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/GatHIkVc-7Y/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/GatHIkVc-7Y/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2024-02-17T19:30:06Z,GatHIkVc-7Y,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/GatHIkVc-7Y"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
32,2024-02-17T19:11:18Z,UC4m46pCBkMEyy8gk26WKqbA,Broken Play | Navv Greene | S02 | EP24 | 02.17.24,THIS WEEK ON BROKEN PLAY: We told you what it was and Pat proved us right. Chiefs stamp their dynasty with a Super Bowl ...,"{'default': {'url': 'https://i.ytimg.com/vi/xOTdsWoS7hc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xOTdsWoS7hc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xOTdsWoS7hc/hqdefault.jpg', 'width': 480, 'height': 360}}",The 85 South Comedy Show,none,2024-02-17T19:11:18Z,xOTdsWoS7hc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/xOTdsWoS7hc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
19,2024-02-17T19:11:03Z,UCG7uFJVZsxQRwDssom9Pavw,Ethiopia&#39;s Prime Minister Makes Challenging Speech at the AU 37th African Leaders Summit,37th Ordinary Session of the AU Assembly (Heads of State and Government Session) Ethiopia's Prime Minister Makes ...,"{'default': {'url': 'https://i.ytimg.com/vi/8Ib5EDDhmos/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8Ib5EDDhmos/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8Ib5EDDhmos/hqdefault.jpg', 'width': 480, 'height': 360}}",2nacheki,none,2024-02-17T19:11:03Z,8Ib5EDDhmos,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/8Ib5EDDhmos"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
