,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds,Timestamp,Title,Creator,handle,URL,Description,Type,Category,Tag,Img,Example,Unnamed: 12
18,2024-02-28T16:00:36Z,UCrPq2ekHx2vZtuyG3wUx0_g,Make Our History Great Again,,"{'default': {'url': 'https://i.ytimg.com/vi/nRoxgDXj1MA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/nRoxgDXj1MA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/nRoxgDXj1MA/hqdefault.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants,none,2024-02-28T16:00:36Z,nRoxgDXj1MA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/nRoxgDXj1MA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:08:16,On the Shoulders of Giants,On the Shoulders of Giants,,https://www.youtube.com/@Ontheshoulders1,On the Shoulders of Giants,Channel,Social Issues,Discussion; Strategy; Implementation,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
30,2024-02-28T15:54:40Z,UCOhiR-6Y-MZtMERKRENrcRw,Gen. Traoré made a damning statement to white people and house negros,"This channel is to bring the awareness to the world of the beautiful continent of Africa. My intentions are to show the development, ...","{'default': {'url': 'https://i.ytimg.com/vi/PNX5UQxDWV4/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PNX5UQxDWV4/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PNX5UQxDWV4/hqdefault_live.jpg', 'width': 480, 'height': 360}}",GoBlack2Africa ,live,2024-02-28T15:54:40Z,PNX5UQxDWV4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/PNX5UQxDWV4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 16:25:11,GoBlack2Africa,GoBlack2Africa,,https://www.youtube.com/@goblack2africa54,"This channel is to educate and bring to light the up and coming Continent of Africa.  Recreating the depiction of Africa for what it truly is.  So many who are from the Diaspora will be motivated to visit or relocate to Africa.  Lastly, GOBLACK2AFRICA provides motivational talks and current events happening in our life that we can learn from. Get ready to venture into the real life and adventures of the African. Our website GoBlack2Africa@gmail.com will be up in January.  Please look through all the exciting things we will be involved in for your experience in Africa.",Channel,Travel,Travel,,https://youtu.be/GZ0e6v5jYyQ,
27,2024-02-28T15:00:45Z,UCwZ2vurIl_X8rv0Dv4mu12A,Paula Hurlock Explains What The Scripture &#39;Seek Ye First The Kingdom Of God..&#39; Really Means,Become A 'I Never Knew Tv' Youtube Member: https://www.youtube.com/channel/UCwZ2vurIl_X8rv0Dv4mu12A/join Paula ...,"{'default': {'url': 'https://i.ytimg.com/vi/m5vSr3RM5fk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/m5vSr3RM5fk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/m5vSr3RM5fk/hqdefault.jpg', 'width': 480, 'height': 360}}",I Never Knew Tv,none,2024-02-28T15:00:45Z,m5vSr3RM5fk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/m5vSr3RM5fk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 16:11:25,I Never Knew Tv,I Never Knew Tv,,https://www.youtube.com/@INEVERKNEWTV,I Never Knew TV’s mission is to inform and inspire curious minds through meaningful dialogue and the sharing of revolutionary ideas and practices. ,Channel,Social Issues,Culture,,https://youtu.be/yhvQjRLSjyA,
31,2024-02-28T15:00:23Z,UCepJ2MwkHah89uXokQVgUrA,‘European Civilisation? There’s No Such Thing!’ #Shorts,European civilisation is a myth and Whites are intimidated by Black superiority. Those are the views of Pan-African scholar James ...,"{'default': {'url': 'https://i.ytimg.com/vi/Vng4fcnng7I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Vng4fcnng7I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Vng4fcnng7I/hqdefault.jpg', 'width': 480, 'height': 360}}",African Stream,none,2024-02-28T15:00:23Z,Vng4fcnng7I,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Vng4fcnng7I"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",,African Stream,African Stream,,,"African Stream is a pan-African digital media organization based exclusively on social-media platforms, focused on giving a voice to all Africans both at home and abroad through cutting-edge, African-centered content.",,Current Events,,,,
13,2024-02-28T14:42:06Z,UCJH-fn0wLu5uwXX33jNToQw,Have Africans lost all basic respect for each other? 🤨🧐,"Sneak-peek of our conversation with Mosotho/South-African designer, Thabo Makhetha-Kwinana. Have Africans lost all basic ...","{'default': {'url': 'https://i.ytimg.com/vi/bmerXMTCJVg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/bmerXMTCJVg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/bmerXMTCJVg/hqdefault.jpg', 'width': 480, 'height': 360}}",NewAfrica,none,2024-02-28T14:42:06Z,bmerXMTCJVg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/bmerXMTCJVg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 15:51:31,NewAfrica,NewAfrica,,https://www.youtube.com/@NewAfrica,Re-introducing minds to Africa through the lenses of history.,Channel,Current Events,History,,https://youtu.be/fRsFT11CxSk,
8,2024-02-28T14:41:55Z,UCKLSjhp6XZUEYDT1DMcrj8w,Dangote Exposing hypocrisy in Africa&#39;s business.,"Dangote the African billionaire reacting of VISA restrictions in Africa for facilitating business. Please SUBSCRIBE, LIKE ...","{'default': {'url': 'https://i.ytimg.com/vi/JPtQe-K2dt4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JPtQe-K2dt4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JPtQe-K2dt4/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2024-02-28T14:41:55Z,JPtQe-K2dt4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/JPtQe-K2dt4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:14:55,Make Afrika Great,Make Afrika Great,,https://www.youtube.com/@MakeAfrikaGreat,Make Afrika Great,Channel,Current Events,"Make Afrika Great is the channel on YouTube, aimed at Educating and Informing you about everything in Africa, inspiring and  Uniting the people. Our Goal is to share thoughts and idea about Africa. Inspire Young People to Make Africa great, Coming together Finding Solutions  of  Problems. We believe that Africa has a lot of opportunities and Many Resources that can bring Development to the Continent of Africa Our content includes: - - Best speeches of our Leaders. -Young innovators and creators -Africa NEWS and UPDATES -Africa Culture -Inspiration Speeches of African Leaders & Pan Africanism  -investments places",none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
6,2024-02-28T14:00:12Z,UCRVsqvXIdgyPVS-a6fGa1lA,Understanding the Racial Wealth Gap: How America Made the Black-White Wealth Gap,"In this thought-provoking episode of Market Mondays, hosts Troy Millings and Rashad Bilal engage in an insightful conversation ...","{'default': {'url': 'https://i.ytimg.com/vi/9U2ff9MqfHc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/9U2ff9MqfHc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/9U2ff9MqfHc/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-02-28T14:00:12Z,9U2ff9MqfHc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/9U2ff9MqfHc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:11:31,Earn Your Leisure,Earn Your Leisure,,https://www.youtube.com/@EarnYourLeisure,"The Earn Your Leisure Network is a revolutionary network which gives rise to emerging and established content creators from the world of business, finance and entrepreneurship whose perspective, expertise and in-depth insight have been undervalued and overlooked.   The Earn Your Leisure Networks ultimate purpose is to build as we climb as a community, highlighting collaboration over competition. The network currently features six shows, Market Mondays, Inside the Vault, Iinner Wealth, DreamNation, Rants and Gems Real Estate Podcast & 19 Keys's hit show High Level Conversations. ",Channel,Productivity,Business; Strategy; Implementation,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
19,2024-02-28T13:01:26Z,UCG7uFJVZsxQRwDssom9Pavw,South Africa&#39;s UN Ambassadors Explains Why Africa Cares About Gaza,"For more visit https://linktr.ee/2nacheki Thank you for watching @2nacheki Kindly show us Africa is Watching by Liking, ...","{'default': {'url': 'https://i.ytimg.com/vi/VUYcGI7hwBM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/VUYcGI7hwBM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/VUYcGI7hwBM/hqdefault.jpg', 'width': 480, 'height': 360}}",2nacheki,none,2024-02-28T13:01:26Z,VUYcGI7hwBM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/VUYcGI7hwBM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:12:26,2nacheki ,2nacheki ,,https://www.youtube.com/@2nacheki,"2nacheki pronounced (tunacheki) means 'We Are Watching ' in Swahili slang. Our goal is to educate & inform you about everything in Africa while showing the World that Africa is Watching. ~~-~~-~- Our African videos covers;  Africa Lists, Africa News,  Africa Speeches , Africa Entertainment , Africa History  Africa Documentaries, Panafricanism , African Culture and more",Channel,Current Events,News; Discussion,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
23,2024-02-28T12:14:50Z,UCLjzzg-cFWpEEjnWCOpXp3Q,The People are the Heart and Soul of Black Power Media,Join Burning Spear Media and Black Power 96 Radio as we recognize and appreciate our volunteers and others in our ...,"{'default': {'url': 'https://i.ytimg.com/vi/ptBHyVBy9e0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ptBHyVBy9e0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ptBHyVBy9e0/hqdefault.jpg', 'width': 480, 'height': 360}}",The Burning Spear TV,none,2024-02-28T12:14:50Z,ptBHyVBy9e0,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ptBHyVBy9e0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:20:58,The Burning Spear,The Burning Spear,,https://www.youtube.com/@theburningspear,The online voice of the International African Revolution,Channel,Current Events,News; Discussion; Strategy; Implementation; Revolution,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
7,2024-02-28T12:00:15Z,UCDsOKnUQnQek7-G7Xc5kB8Q,The Biggest Pricing Mistake Beginners Make - Social Proof Podcast ep. 441,Watch Full Episode: https://youtu.be/8X1hg8R50Mc?si=Jo3J4-xabTGi_590 #entrepreneur #smallbusiness #podcast #howto In ...,"{'default': {'url': 'https://i.ytimg.com/vi/I1v8_zocNRE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/I1v8_zocNRE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/I1v8_zocNRE/hqdefault.jpg', 'width': 480, 'height': 360}}",Social Proof,none,2024-02-28T12:00:15Z,I1v8_zocNRE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/I1v8_zocNRE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 15:50:16,Social Proof,Social Proof,,https://www.youtube.com/@RealSocialProof,"Welcome to the home of the #1 Entrepreneurship podcast for entrepreneurs! The ""Social Proof Podcast"" host's conversations with some of the greatest minds in the world. You will learn from people who have made anywhere 6-Figures with clothing brands and photography companies to true outliers who've built Billion Dollar Empires!  Our whole network is dedicated to teaching beginning entrepreneurs how to make the transition from the dead end 9-5 to becoming a fully free full-time entrepreneur.  This channel is perfect for you if... 👉🏽  You want to learn how to cover all of your living expenses with a simple side hustle 👉🏽  You want to scale your current business you 6 Figures to 7 Figures and beyond 👉🏽  You want to be introduced to some of the best minds in the world 👉🏽  You want to become the best version of yourself  Feel free to like, comment, subscribe and engage with us.",Channel,Productivity,Business,,https://youtu.be/j953EyHhyf4,
28,2024-02-28T09:27:55Z,UCF-A_4x9-bLrxXrmgBOWuJA,Julius Malema in Conversation With Phemelo Motene On Kaya FM,"The Commander In Chief and President of the EFF talks to Phemelo Motene on Kaya FM on the SA economy, education, elections ...","{'default': {'url': 'https://i.ytimg.com/vi/bMbCYg_5mc4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/bMbCYg_5mc4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/bMbCYg_5mc4/hqdefault.jpg', 'width': 480, 'height': 360}}",Economic Freedom Fighters,none,2024-02-28T09:27:55Z,bMbCYg_5mc4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/bMbCYg_5mc4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 16:15:26,Economic Freedom Fighters,Economic Freedom Fighters,,https://www.youtube.com/@economicfreedomfighters7948,Economic Freedom Fighters,Channel,Current Events,Politics,,https://youtu.be/NFB3j-4uBiY,
12,2024-02-28T09:00:08Z,UCKZGcrxRAhdUi58Mdr565mw,Elon Musk Promise To Pay Black Owned Bakery After His Company Cancelled $12k Order,Demetra Kaye reports on Elon Musk promising to pay (he finally paid the bill) a Black owned bakery after a representative from his ...,"{'default': {'url': 'https://i.ytimg.com/vi/Ij02bJiOLjg/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Ij02bJiOLjg/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Ij02bJiOLjg/hqdefault_live.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,upcoming,2024-02-28T09:00:08Z,Ij02bJiOLjg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Ij02bJiOLjg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 15:35:57,African Diaspora News Channel,African Diaspora News Channel,,https://www.youtube.com/@AfricanDiasporaNews,"African Diaspora News Channel presents international news, social commentary, travel, and health. We're committed to reporting truthful and accurate news. Our viewers expect and love the ""tell it like it is"" style of reporting. We're dedicated to bringing stories that spark conversation and topics that aren't comfortable in a politically correct world. We will say what we believe and stand against propaganda. You can expect a balanced opinion in our news commentaries. We believe our viewing audience guides the direction of our platform.",Channel,Current Events,News,,https://youtu.be/yTftFBRk0ok,
21,2024-02-28T01:20:13Z,UC2rmgVaijnf92nixlIZWGmg,This Is The Largest Museum In West Africa. Museum of Black Civilizations,Cash App: $amirdynast Patreon: https://www.patreon.com/searchforuhuru Instagram: Princedynastamir instagram: ...,"{'default': {'url': 'https://i.ytimg.com/vi/-kmT0tpbmzM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/-kmT0tpbmzM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/-kmT0tpbmzM/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2024-02-28T01:20:13Z,-kmT0tpbmzM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/-kmT0tpbmzM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:15:47,Searchforuhuru,Searchforuhuru,,https://www.youtube.com/@Searchforuhuru,"The Vision is to build a bridge between Africa & her children of the diaspora. Oluse Afara ,which translates to bridge maker in Yoruba, is a title which was given to Dynast Amir which encompasses the work that he is doing. The title of Oluse Afara isn’t only limited to Dynast Amir, but to all of those whom are on a similar path. Building this bridge is the key to a much deeper mission. Dynast wants the diaspora to also invest in the people, the culture, help assist in building the infrastructure, and bring business development to Africa. ",Channel,Travel,Culture; Travel,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
9,2024-02-28T00:30:27Z,UCl6to6J7oVltnhHEVm1s87A,"First Kentucky Derby Winner, Oliver Lewis","theperspective #africanhistory #africanews #africax5 In 1875, Oliver Lewis became the first jockey to win the Kentucky Derby, ...","{'default': {'url': 'https://i.ytimg.com/vi/x0cOdCBTvzQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/x0cOdCBTvzQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/x0cOdCBTvzQ/hqdefault.jpg', 'width': 480, 'height': 360}}",Africax5 Network,none,2024-02-28T00:30:27Z,x0cOdCBTvzQ,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/x0cOdCBTvzQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:17:27,Africax5,Africax5,,https://www.youtube.com/@africax5,"AFRICAX5 is an independent source of news and views, sourced from our interlinked online communities worldwide.   Our aim is to allow for better understanding of current affairs and complex issues in our community. And hopefully allow for a better quality of public discourse and conversations to reach a positive solution for our people.",Channel,Social Issues,News; History; Culture,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
