,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds
6,2024-02-13T03:09:48Z,UCRVsqvXIdgyPVS-a6fGa1lA,"Vision Pro Review, International Business, Help For Entrepreneurs, &amp; The Super Bowl&#39;s Biggest Winner","Market Mondays: Unpacking the Future of Tech, Investments, and Global Economics** In this thrilling episode of Market Mondays, ...","{'default': {'url': 'https://i.ytimg.com/vi/NIkgvqADwZw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NIkgvqADwZw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NIkgvqADwZw/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-02-13T03:09:48Z,NIkgvqADwZw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/NIkgvqADwZw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
17,2024-02-13T02:34:17Z,UCABZ7Z6SBTp4IsARDceOq7w,HYPE MIC MONDAYS | Live From Atlanta 🔥,"https://www.hypeplustv.com/ - If you enjoy the jokes, tip us! De'Anthony Turner hosts a night of HYPE MIC live from Atlanta.","{'default': {'url': 'https://i.ytimg.com/vi/bedzxzUuZEU/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/bedzxzUuZEU/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/bedzxzUuZEU/hqdefault_live.jpg', 'width': 480, 'height': 360}}",Comedy Hype,live,2024-02-13T02:34:17Z,bedzxzUuZEU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/bedzxzUuZEU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
27,2024-02-13T02:08:22Z,UCwZ2vurIl_X8rv0Dv4mu12A,Truth Hurts #rizzaislam #bodypositive #bodypositivity #healthiswealth #ineverknewtv,,"{'default': {'url': 'https://i.ytimg.com/vi/PKJabQ5zxpc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PKJabQ5zxpc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PKJabQ5zxpc/hqdefault.jpg', 'width': 480, 'height': 360}}",I Never Knew Tv,none,2024-02-13T02:08:22Z,PKJabQ5zxpc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/PKJabQ5zxpc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
12,2024-02-13T02:07:36Z,UCKZGcrxRAhdUi58Mdr565mw,Older Black Woman Says We&#39;re Not Getting Reparations,Phillip Scott reports on an older BW stating Black Americans will not receive reparations in the US.,"{'default': {'url': 'https://i.ytimg.com/vi/-7zNHYPOkTw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/-7zNHYPOkTw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/-7zNHYPOkTw/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2024-02-13T02:07:36Z,-7zNHYPOkTw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/-7zNHYPOkTw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
2,2024-02-13T00:33:50Z,UCjBw2SidW7wFElbmj9bgDjw,I&#39;ll look up ANYTHING in my 200 year old dictionary! LIVESTREAM,Samuel Johson published the oldest comprehensive dictionary of the English Language in 1755... I have a genuine copy of the ...,"{'default': {'url': 'https://i.ytimg.com/vi/YOr3eEU-ePY/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/YOr3eEU-ePY/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/YOr3eEU-ePY/hqdefault_live.jpg', 'width': 480, 'height': 360}}",The Kings Monologue,upcoming,2024-02-13T00:33:50Z,YOr3eEU-ePY,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/YOr3eEU-ePY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
25,2024-02-13T00:04:31Z,UClwrpH_Np9zk8uMwnMwu8Nw,It Hasn&#39;t been Easy!,The Image of AFRICA has been DISTORTED around the WORLD & We are CHANGING the NARRATIVE via YOUTUBE videos ...,"{'default': {'url': 'https://i.ytimg.com/vi/W26drdo1LOI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/W26drdo1LOI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/W26drdo1LOI/hqdefault.jpg', 'width': 480, 'height': 360}}",WODE MAYA,none,2024-02-13T00:04:31Z,W26drdo1LOI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/W26drdo1LOI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
21,2024-02-13T00:02:29Z,UC2rmgVaijnf92nixlIZWGmg,Prince Dynast Amir Speaks On The Power Of Having Sierra Leonean Citizenship.,Prince Dynast Amir Speaks On The Power Of Having Sierra Leonean Citizenship. Patreon: ...,"{'default': {'url': 'https://i.ytimg.com/vi/1UfwUJgS7sk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1UfwUJgS7sk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1UfwUJgS7sk/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2024-02-13T00:02:29Z,1UfwUJgS7sk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/1UfwUJgS7sk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
7,2024-02-12T21:57:38Z,UCDsOKnUQnQek7-G7Xc5kB8Q,How To Brand Yourself As A Public Speaker - Jeremy Anderson - Social Proof Podcast ep. 437,Watch Full Episode: https://www.youtube.com/watch?v=MVikbMQEfXo #entrepreneur #smallbusiness #podcast #howto In this ...,"{'default': {'url': 'https://i.ytimg.com/vi/oqAHlD6Yj64/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/oqAHlD6Yj64/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/oqAHlD6Yj64/hqdefault.jpg', 'width': 480, 'height': 360}}",Social Proof,none,2024-02-12T21:57:38Z,oqAHlD6Yj64,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/oqAHlD6Yj64"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
10,2024-02-12T21:53:34Z,UC1ettU5YSf_nIOJWffCKGQw,Louis Farrakhan explains why whites fear black people,"Minister Louis Farrakhan speaks to Phil Donahue at his show, discussing why black people are so feared by the general white ...","{'default': {'url': 'https://i.ytimg.com/vi/zo60sRdby5k/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zo60sRdby5k/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zo60sRdby5k/hqdefault.jpg', 'width': 480, 'height': 360}}",LuiSpot,none,2024-02-12T21:53:34Z,zo60sRdby5k,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/zo60sRdby5k"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
18,2024-02-12T21:32:19Z,UCrPq2ekHx2vZtuyG3wUx0_g,Southern Land Is FBA Land | Black Reverse-Migration Breakdown Clip,cashapp: $joeward84 Follow us on Instagram @ontheshoulders1 Visit us at www.ontheshoulders1.com or ...,"{'default': {'url': 'https://i.ytimg.com/vi/fzixoqtK8yI/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/fzixoqtK8yI/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/fzixoqtK8yI/hqdefault_live.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants,upcoming,2024-02-12T21:32:19Z,fzixoqtK8yI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/fzixoqtK8yI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
19,2024-02-12T20:37:18Z,UCG7uFJVZsxQRwDssom9Pavw,Africans React to Threats of Recolonized by Founder of US Private Military Arm Blackwater,"Welcome to Africa reacts in this video e reacts to US Businessman, Erik Prince saying African countries should be recolonized ...","{'default': {'url': 'https://i.ytimg.com/vi/TeT26cN0x3M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/TeT26cN0x3M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/TeT26cN0x3M/hqdefault.jpg', 'width': 480, 'height': 360}}",2nacheki,none,2024-02-12T20:37:18Z,TeT26cN0x3M,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/TeT26cN0x3M"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
20,2024-02-12T19:08:59Z,UCi2uaWdy6OTf4Ty7DVC_7lw,"The STATE of My Villa in KENYA , AFRICA ( 2024 )!!!","Hello family , welcome to my YouTube channel iam_marwa , i hope you have enjoyed this video , WE are Back in VILLAGE To ...","{'default': {'url': 'https://i.ytimg.com/vi/794NzHL7HCA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/794NzHL7HCA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/794NzHL7HCA/hqdefault.jpg', 'width': 480, 'height': 360}}",iam_marwa,none,2024-02-12T19:08:59Z,794NzHL7HCA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/794NzHL7HCA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
8,2024-02-12T18:22:51Z,UCKLSjhp6XZUEYDT1DMcrj8w,"Brave Naledi Pandor received threats, blasts the West for Exploiting Africa","It's true that the abundance of natural resources in Africa, such as oil, diamonds, and minerals, has often been linked to conflicts.","{'default': {'url': 'https://i.ytimg.com/vi/nmPxQn9FqxM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/nmPxQn9FqxM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/nmPxQn9FqxM/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2024-02-12T18:22:51Z,nmPxQn9FqxM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/nmPxQn9FqxM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
11,2024-02-12T18:15:00Z,UC-4h1XQ47sf0vbFwJvuBhEA,Kenya’s World Marathon Record Holder Kelvin Kiptum dies in road accident,Kelvin Kiptum dies in road accident - It is common knowledge that Kenya's reputation for long-distance running excellence is ...,"{'default': {'url': 'https://i.ytimg.com/vi/6nEi0xAyE4o/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6nEi0xAyE4o/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6nEi0xAyE4o/hqdefault.jpg', 'width': 480, 'height': 360}}",The New Africa Channel,none,2024-02-12T18:15:00Z,6nEi0xAyE4o,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/6nEi0xAyE4o"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
14,2024-02-12T08:25:59Z,UCMe6CgCi6TSZX1tUxuUvCGg,Maponga Joshua  | Dr Susan Tatah : EXCLUSIVE Maponga Live from Jamaica &amp; Caribbean 2024,MAPONGA JOSHUA LIVE FROM JAMAICA - CARIBBEAN ON PAN-AFRICAN DAILY TV.,"{'default': {'url': 'https://i.ytimg.com/vi/vdi7eDyQA8c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vdi7eDyQA8c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vdi7eDyQA8c/hqdefault.jpg', 'width': 480, 'height': 360}}",Pan-African Daily TV,none,2024-02-12T08:25:59Z,vdi7eDyQA8c,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/vdi7eDyQA8c"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
22,2024-02-11T23:00:30Z,UCJa58Tf70HC5q2oQDNBrJ2g,Denzel Washington In The Book Of Eli Never Forget the Past – Learning From The Masters,"The Book of Eli is a post-apocalyptic film directed by the Hughes brothers, starring Denzel Washington as Eli, a lone wanderer in a ...","{'default': {'url': 'https://i.ytimg.com/vi/jbnwvIOlbdI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/jbnwvIOlbdI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/jbnwvIOlbdI/hqdefault.jpg', 'width': 480, 'height': 360}}",African Docs,none,2024-02-11T23:00:30Z,jbnwvIOlbdI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/jbnwvIOlbdI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
28,2024-02-11T19:43:46Z,UCF-A_4x9-bLrxXrmgBOWuJA,CIC Julius Malema Addresses EFF List Conference,,"{'default': {'url': 'https://i.ytimg.com/vi/e3p4c-3vlbs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/e3p4c-3vlbs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/e3p4c-3vlbs/hqdefault.jpg', 'width': 480, 'height': 360}}",Economic Freedom Fighters,none,2024-02-11T19:43:46Z,e3p4c-3vlbs,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/e3p4c-3vlbs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
31,2024-02-11T15:15:00Z,UCepJ2MwkHah89uXokQVgUrA,Bafana Bafana A Victory For Demographics? #Shorts (Part 2),South Africa's footballers bowed out of AFCON with their heads held high. A penalty-shootout defeat to Nigeria ended their dream ...,"{'default': {'url': 'https://i.ytimg.com/vi/4sTsYzqiHSg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4sTsYzqiHSg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4sTsYzqiHSg/hqdefault.jpg', 'width': 480, 'height': 360}}",African Stream,none,2024-02-11T15:15:00Z,4sTsYzqiHSg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/4sTsYzqiHSg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
24,2024-02-10T18:00:30Z,UCJmmxwdAsR7lD8fBA_qbEMw,Why Kenya&#39;s Airforce Launched a Bloody Coup in 1982,"In the pre-dawn hours of August 1, 1982, the heart of Kenya's political landscape pulsated with an audacious rhythm, as a group ...","{'default': {'url': 'https://i.ytimg.com/vi/kwxVBJe_MPU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/kwxVBJe_MPU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/kwxVBJe_MPU/hqdefault.jpg', 'width': 480, 'height': 360}}",African Biographics,none,2024-02-10T18:00:30Z,kwxVBJe_MPU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/kwxVBJe_MPU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
