,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds
10,2024-02-16T19:39:26Z,UC1ettU5YSf_nIOJWffCKGQw,"Louis Farrakhan schools U.S reporter hating on Nigeria, about America&#39;s brutal tactics","U.S media personality, Mike Wallace gets schooled for hating on Nigeria as the most corrupt country in the world. Louis Farrakhan ...","{'default': {'url': 'https://i.ytimg.com/vi/8RCMjmUiwUg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8RCMjmUiwUg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8RCMjmUiwUg/hqdefault.jpg', 'width': 480, 'height': 360}}",LuiSpot,none,2024-02-16T19:39:26Z,8RCMjmUiwUg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/8RCMjmUiwUg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
11,2024-02-16T19:30:02Z,UC-4h1XQ47sf0vbFwJvuBhEA,Niger Demands Compensation From France for Colonial Plundering of Natural Resources,Niger Demands Compensation From France for Colonial Plundering of Natural Resources - It is no secret that the colonial era in ...,"{'default': {'url': 'https://i.ytimg.com/vi/Vja1-Dp8ZbE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Vja1-Dp8ZbE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Vja1-Dp8ZbE/hqdefault.jpg', 'width': 480, 'height': 360}}",The New Africa Channel,none,2024-02-16T19:30:02Z,Vja1-Dp8ZbE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Vja1-Dp8ZbE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
19,2024-02-16T19:02:16Z,UCG7uFJVZsxQRwDssom9Pavw,South Africa Has Proven Isreal is Committing Genocide in Gaza but Nobody Cares,"South Africa's Minister of International Relations and Cooperation, Naledi Pandor, says Israel's actions clearly prove what South ...","{'default': {'url': 'https://i.ytimg.com/vi/XDC-9uxGJc4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XDC-9uxGJc4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XDC-9uxGJc4/hqdefault.jpg', 'width': 480, 'height': 360}}",2nacheki,none,2024-02-16T19:02:16Z,XDC-9uxGJc4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/XDC-9uxGJc4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
12,2024-02-16T19:00:21Z,UCKZGcrxRAhdUi58Mdr565mw,"Take Back Your Money, President Kagame Says UK Can Have Back Their Money If Refugees Arent Deported",Rwanda's president boldly tells condescending UK Journalists that Rwanda will return the money if Refugees are not deported.,"{'default': {'url': 'https://i.ytimg.com/vi/O5cMHFVcNZs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/O5cMHFVcNZs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/O5cMHFVcNZs/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2024-02-16T19:00:21Z,O5cMHFVcNZs,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/O5cMHFVcNZs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
25,2024-02-16T18:46:53Z,UClwrpH_Np9zk8uMwnMwu8Nw,Flying From Jamaica To Meet The President Of Guyana,The Image of AFRICA has been DISTORTED around the WORLD & We are CHANGING the NARRATIVE via YOUTUBE videos ...,"{'default': {'url': 'https://i.ytimg.com/vi/s6z6XLw5S_k/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/s6z6XLw5S_k/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/s6z6XLw5S_k/hqdefault.jpg', 'width': 480, 'height': 360}}",WODE MAYA,none,2024-02-16T18:46:53Z,s6z6XLw5S_k,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/s6z6XLw5S_k"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
7,2024-02-16T18:33:01Z,UCDsOKnUQnQek7-G7Xc5kB8Q,The Art of Telling Your Story,Today we're going to dive deep into the essence of impactful storytelling in a world that hungers for authenticity. We have a master ...,"{'default': {'url': 'https://i.ytimg.com/vi/5Jq0isMMkw0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/5Jq0isMMkw0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/5Jq0isMMkw0/hqdefault.jpg', 'width': 480, 'height': 360}}",Social Proof,none,2024-02-16T18:33:01Z,5Jq0isMMkw0,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/5Jq0isMMkw0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
14,2024-02-16T18:31:00Z,UCMe6CgCi6TSZX1tUxuUvCGg,"ERNEST ANDREW, THE INVENTOR FROM MALAWI SHOCK THE WORLD..",Coming up Live on Pan-Afrcan Daily TV with Dr Susan Tatah and PK Kasirim.,"{'default': {'url': 'https://i.ytimg.com/vi/iYXnQBzXV3o/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/iYXnQBzXV3o/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/iYXnQBzXV3o/hqdefault_live.jpg', 'width': 480, 'height': 360}}",Pan-African Daily TV,live,2024-02-16T18:31:00Z,iYXnQBzXV3o,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/iYXnQBzXV3o"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
21,2024-02-16T18:15:39Z,UC2rmgVaijnf92nixlIZWGmg,Emergency Meeting On The Gambia RIP To Shakina Chinedu,Emergency Meeting On The Gambia Company RIP To Shakina Chinedu Cash App: $amirdynast Patreon: ...,"{'default': {'url': 'https://i.ytimg.com/vi/mPGrCm7CK3M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/mPGrCm7CK3M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/mPGrCm7CK3M/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2024-02-16T18:15:39Z,mPGrCm7CK3M,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/mPGrCm7CK3M"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
18,2024-02-16T18:02:59Z,UCrPq2ekHx2vZtuyG3wUx0_g,Our Children Are Under Attack | A Breakdown of WOKE Seggs Ed,"Today we have to announce that our children are under attack, by irresponsible adults teaching sex. Today's video breaks down a ...","{'default': {'url': 'https://i.ytimg.com/vi/R0qlVJqeW5w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/R0qlVJqeW5w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/R0qlVJqeW5w/hqdefault.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants,none,2024-02-16T18:02:59Z,R0qlVJqeW5w,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/R0qlVJqeW5w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
8,2024-02-16T17:22:04Z,UCKLSjhp6XZUEYDT1DMcrj8w,Powerful PLO Lumumba A NEW SCRAMBLE FOR AFRICA,"Please SUBSCRIBE, LIKE, COMMENT and Share, Thank for Watching #Love #Peace #AfricanSolutions.","{'default': {'url': 'https://i.ytimg.com/vi/4yXuIouo970/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4yXuIouo970/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4yXuIouo970/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2024-02-16T17:22:04Z,4yXuIouo970,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/4yXuIouo970"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
